Region,Month of Period End,Median Sale Price,Median Sale Price MoM,Inventory,Inventory MoM,Supply,Mortgage Interested Rate 30
"Atlanta, GA",2018-01-01 00:00:00,251000,-0.134,2855,-0.016,4.2,4.0325
"Atlanta, GA",2018-02-01 00:00:00,246000,-0.022000000000000002,2955,0.035,3.7,4.33
"Atlanta, GA",2018-03-01 00:00:00,267000,0.08800000000000001,3073,0.04,2.8,4.444
"Atlanta, GA",2018-04-01 00:00:00,279000,0.047,3198,0.040999999999999995,3.2,4.4675
"Atlanta, GA",2018-05-01 00:00:00,295000,0.055,3346,0.046,2.7,4.586
"Atlanta, GA",2018-06-01 00:00:00,328000,0.11199999999999999,3473,0.038,3.0,4.57
"Atlanta, GA",2018-07-01 00:00:00,290000,-0.11599999999999999,3697,0.064,3.7,4.5275
"Atlanta, GA",2018-08-01 00:00:00,290000,0.0,4037,0.092,3.9,4.55
"Atlanta, GA",2018-09-01 00:00:00,285000,-0.017,4207,0.042,4.8,4.6275
"Atlanta, GA",2018-10-01 00:00:00,280000,-0.018000000000000002,4303,0.023,4.9,4.83
"Atlanta, GA",2018-11-01 00:00:00,300000,0.071,4179,-0.028999999999999998,5.0,4.866
"Atlanta, GA",2018-12-01 00:00:00,292000,-0.026000000000000002,3769,-0.098,5.0,4.6375
"Atlanta, GA",2019-01-01 00:00:00,263000,-0.10099999999999999,3876,0.027999999999999997,6.8,4.464
"Atlanta, GA",2019-02-01 00:00:00,267000,0.017,3972,0.025,5.6,4.37
"Atlanta, GA",2019-03-01 00:00:00,287000,0.07400000000000001,4337,0.092,4.5,4.265
"Atlanta, GA",2019-04-01 00:00:00,335000,0.168,4679,0.079,4.3,4.1425
"Atlanta, GA",2019-05-01 00:00:00,322000,-0.039,4891,0.045,4.1,4.072
"Atlanta, GA",2019-06-01 00:00:00,338000,0.049,4952,0.012,4.7,3.8025
"Atlanta, GA",2019-07-01 00:00:00,299000,-0.114,4988,0.006999999999999999,4.6,3.765
"Atlanta, GA",2019-08-01 00:00:00,290000,-0.031,5090,0.02,4.7,3.616
"Atlanta, GA",2019-09-01 00:00:00,315000,0.086,5212,0.024,5.7,3.605
"Atlanta, GA",2019-10-01 00:00:00,295000,-0.063,5144,-0.013000000000000001,5.3,3.688
"Atlanta, GA",2019-11-01 00:00:00,319000,0.081,4699,-0.087,6.2,3.695
"Atlanta, GA",2019-12-01 00:00:00,314000,-0.013999999999999999,4109,-0.126,4.2,3.72
"Atlanta, GA",2020-01-01 00:00:00,286000,-0.092,4058,-0.012,6.2,3.624
"Atlanta, GA",2020-02-01 00:00:00,303000,0.06,4100,0.01,4.8,3.465
"Atlanta, GA",2020-03-01 00:00:00,330000,0.091,4480,0.09300000000000001,4.5,3.45
"Atlanta, GA",2020-04-01 00:00:00,364000,0.102,4548,0.015,5.9,3.306
"Atlanta, GA",2020-05-01 00:00:00,343000,-0.057999999999999996,4543,-0.001,6.7,3.2325
"Atlanta, GA",2020-06-01 00:00:00,335000,-0.022000000000000002,4401,-0.031,4.3,3.1625
"Atlanta, GA",2020-07-01 00:00:00,350000,0.044000000000000004,4453,0.012,3.8,3.016
"Atlanta, GA",2020-08-01 00:00:00,341000,-0.025,4527,0.017,3.8,2.935
"Atlanta, GA",2020-09-01 00:00:00,350000,0.026000000000000002,4511,-0.004,4.1,2.89
"Atlanta, GA",2020-10-01 00:00:00,355000,0.013999999999999999,4547,0.008,4.1,2.834
"Atlanta, GA",2020-11-01 00:00:00,350000,-0.013999999999999999,4131,-0.091,4.4,2.765
"Atlanta, GA",2020-12-01 00:00:00,351000,0.003,3494,-0.154,3.1,2.684
"Atlanta, GA",2021-01-01 00:00:00,329000,-0.063,3227,-0.076,4.0,2.735
"Atlanta, GA",2021-02-01 00:00:00,345000,0.049,3060,-0.052000000000000005,3.4,2.81
"Atlanta, GA",2021-03-01 00:00:00,340000,-0.013999999999999999,2925,-0.044000000000000004,2.2,3.0825
"Atlanta, GA",2021-04-01 00:00:00,368000,0.08199999999999999,2952,0.009000000000000001,2.3,3.06
"Atlanta, GA",2021-05-01 00:00:00,394000,0.071,2844,-0.037000000000000005,2.2,2.9625
"Atlanta, GA",2021-06-01 00:00:00,411000,0.040999999999999995,2913,0.024,2.1,2.975
"Atlanta, GA",2021-07-01 00:00:00,379000,-0.076,3118,0.07,2.5,2.868
"Atlanta, GA",2021-08-01 00:00:00,362000,-0.046,3090,-0.009000000000000001,2.8,2.8425
"Atlanta, GA",2021-09-01 00:00:00,355000,-0.019,3114,0.008,2.9,2.9
"Atlanta, GA",2021-10-01 00:00:00,393000,0.107,3076,-0.012,2.9,3.0675
"Atlanta, GA",2021-11-01 00:00:00,385000,-0.02,2641,-0.141,2.6,3.0675
"Atlanta, GA",2021-12-01 00:00:00,385000,-0.001,2228,-0.156,2.1,3.098
"Atlanta, GA",2022-01-01 00:00:00,380000,-0.013999999999999999,1892,-0.151,2.6,3.445
"Atlanta, GA",2022-02-01 00:00:00,390000,0.027000000000000003,1867,-0.013000000000000001,2.0,3.7625
"Atlanta, GA",2022-03-01 00:00:00,395000,0.013000000000000001,1950,0.044000000000000004,1.6,4.172
"Atlanta, GA",2022-04-01 00:00:00,427000,0.081,2090,0.07200000000000001,1.9,4.9825
"Atlanta, GA",2022-05-01 00:00:00,458000,0.07200000000000001,2281,0.091,2.2,5.23
"Atlanta, GA",2022-06-01 00:00:00,415000,-0.094,2774,0.21600000000000003,2.8,5.522
"Atlanta, GA",2022-07-01 00:00:00,400000,-0.036000000000000004,3088,0.113,3.8,5.4125
"Atlanta, GA",2022-08-01 00:00:00,400000,0.0,3257,0.055,3.8,5.2225
"Atlanta, GA",2022-09-01 00:00:00,400000,0.0,3358,0.031,4.3,6.112
"Atlanta, GA",2022-10-01 00:00:00,435000,0.087,3345,-0.004,5.1,6.9
"Atlanta, GA",2022-11-01 00:00:00,400000,-0.08199999999999999,3297,-0.013999999999999999,5.9,6.805
"Atlanta, GA",2022-12-01 00:00:00,386000,-0.035,2824,-0.14300000000000002,5.2,6.364
"Atlanta, GA",2023-01-01 00:00:00,366000,-0.051,2847,0.008,6.6,6.2725
"Atlanta, GA",2023-02-01 00:00:00,393000,0.07200000000000001,2758,-0.031,5.0,6.2575
"Atlanta, GA",2023-03-01 00:00:00,391000,-0.004,2823,0.024,3.6,6.544
"Atlanta, GA",2023-04-01 00:00:00,399000,0.019,2788,-0.012,3.8,6.3425
"Atlanta, GA",2023-05-01 00:00:00,450000,0.129,2751,-0.013000000000000001,3.3,6.425
"Atlanta, GA",2023-06-01 00:00:00,438000,-0.027000000000000003,2734,-0.006,3.3,6.714
"Atlanta, GA",2023-07-01 00:00:00,385000,-0.121,2673,-0.022000000000000002,3.6,6.84
"Atlanta, GA",2023-08-01 00:00:00,417000,0.08199999999999999,2513,-0.06,3.4,7.072
"Marietta, GA",2018-01-01 00:00:00,265000,0.0,413,-0.053,3.6,4.0325
"Marietta, GA",2018-02-01 00:00:00,256000,-0.035,379,-0.08199999999999999,2.8,4.33
"Marietta, GA",2018-03-01 00:00:00,290000,0.134,435,0.14800000000000002,2.2,4.444
"Marietta, GA",2018-04-01 00:00:00,292000,0.005,482,0.10800000000000001,2.5,4.4675
"Marietta, GA",2018-05-01 00:00:00,297000,0.017,545,0.131,2.5,4.586
"Marietta, GA",2018-06-01 00:00:00,325000,0.096,520,-0.046,2.3,4.57
"Marietta, GA",2018-07-01 00:00:00,303000,-0.068,545,0.048,2.3,4.5275
"Marietta, GA",2018-08-01 00:00:00,270000,-0.109,553,0.015,2.8,4.55
"Marietta, GA",2018-09-01 00:00:00,280000,0.038,532,-0.038,3.7,4.6275
"Marietta, GA",2018-10-01 00:00:00,272000,-0.028999999999999998,535,0.006,3.1,4.83
"Marietta, GA",2018-11-01 00:00:00,271000,-0.004,519,-0.03,3.2,4.866
"Marietta, GA",2018-12-01 00:00:00,278000,0.026000000000000002,452,-0.129,3.6,4.6375
"Marietta, GA",2019-01-01 00:00:00,280000,0.006999999999999999,445,-0.015,3.9,4.464
"Marietta, GA",2019-02-01 00:00:00,272000,-0.027999999999999997,449,0.009000000000000001,3.1,4.37
"Marietta, GA",2019-03-01 00:00:00,295000,0.085,472,0.051,3.0,4.265
"Marietta, GA",2019-04-01 00:00:00,304000,0.031,506,0.07200000000000001,2.7,4.1425
"Marietta, GA",2019-05-01 00:00:00,305000,0.003,549,0.085,2.3,4.072
"Marietta, GA",2019-06-01 00:00:00,299000,-0.02,529,-0.036000000000000004,2.3,3.8025
"Marietta, GA",2019-07-01 00:00:00,323000,0.08,504,-0.047,2.3,3.765
"Marietta, GA",2019-08-01 00:00:00,305000,-0.055999999999999994,517,0.026000000000000002,2.4,3.616
"Marietta, GA",2019-09-01 00:00:00,295000,-0.034,474,-0.083,2.9,3.605
"Marietta, GA",2019-10-01 00:00:00,306000,0.039,459,-0.032,3.0,3.688
"Marietta, GA",2019-11-01 00:00:00,308000,0.005,445,-0.031,3.1,3.695
"Marietta, GA",2019-12-01 00:00:00,301000,-0.02,386,-0.133,3.1,3.72
"Marietta, GA",2020-01-01 00:00:00,290000,-0.038,381,-0.013000000000000001,3.9,3.624
"Marietta, GA",2020-02-01 00:00:00,279000,-0.04,411,0.079,3.1,3.465
"Marietta, GA",2020-03-01 00:00:00,310000,0.11199999999999999,437,0.063,2.3,3.45
"Marietta, GA",2020-04-01 00:00:00,316000,0.019,433,-0.009000000000000001,3.2,3.306
"Marietta, GA",2020-05-01 00:00:00,305000,-0.033,443,0.023,3.3,3.2325
"Marietta, GA",2020-06-01 00:00:00,328000,0.07400000000000001,456,0.028999999999999998,2.5,3.1625
"Marietta, GA",2020-07-01 00:00:00,327000,-0.002,424,-0.07,1.8,3.016
"Marietta, GA",2020-08-01 00:00:00,324000,-0.009000000000000001,376,-0.113,1.7,2.935
"Marietta, GA",2020-09-01 00:00:00,335000,0.034,345,-0.08199999999999999,1.6,2.89
"Marietta, GA",2020-10-01 00:00:00,338000,0.009000000000000001,332,-0.038,1.8,2.834
"Marietta, GA",2020-11-01 00:00:00,340000,0.005,262,-0.21100000000000002,1.4,2.765
"Marietta, GA",2020-12-01 00:00:00,330000,-0.027999999999999997,207,-0.21,1.1,2.684
"Marietta, GA",2021-01-01 00:00:00,320000,-0.03,191,-0.077,1.4,2.735
"Marietta, GA",2021-02-01 00:00:00,335000,0.047,180,-0.057999999999999996,1.3,2.81
"Marietta, GA",2021-03-01 00:00:00,352000,0.05,189,0.05,0.9,3.0825
"Marietta, GA",2021-04-01 00:00:00,345000,-0.02,202,0.069,0.9,3.06
"Marietta, GA",2021-05-01 00:00:00,375000,0.087,217,0.07400000000000001,1.0,2.9625
"Marietta, GA",2021-06-01 00:00:00,384000,0.023,247,0.138,1.1,2.975
"Marietta, GA",2021-07-01 00:00:00,382000,-0.003,232,-0.061,1.1,2.868
"Marietta, GA",2021-08-01 00:00:00,368000,-0.039,220,-0.052000000000000005,1.0,2.8425
"Marietta, GA",2021-09-01 00:00:00,384000,0.045,224,0.018000000000000002,1.4,2.9
"Marietta, GA",2021-10-01 00:00:00,380000,-0.011000000000000001,224,0.0,1.5,3.0675
"Marietta, GA",2021-11-01 00:00:00,386000,0.016,200,-0.107,1.1,3.0675
"Marietta, GA",2021-12-01 00:00:00,385000,-0.003,175,-0.125,1.2,3.098
"Marietta, GA",2022-01-01 00:00:00,380000,-0.013000000000000001,145,-0.171,1.1,3.445
"Marietta, GA",2022-02-01 00:00:00,400000,0.053,125,-0.138,0.9,3.7625
"Marietta, GA",2022-03-01 00:00:00,408000,0.02,153,0.22399999999999998,0.9,4.172
"Marietta, GA",2022-04-01 00:00:00,400000,-0.02,177,0.157,1.2,4.9825
"Marietta, GA",2022-05-01 00:00:00,432000,0.079,217,0.226,1.2,5.23
"Marietta, GA",2022-06-01 00:00:00,463000,0.07200000000000001,266,0.226,1.7,5.522
"Marietta, GA",2022-07-01 00:00:00,459000,-0.009000000000000001,319,0.19899999999999998,2.2,5.4125
"Marietta, GA",2022-08-01 00:00:00,415000,-0.095,292,-0.085,1.8,5.2225
"Marietta, GA",2022-09-01 00:00:00,435000,0.048,301,0.031,2.0,6.112
"Marietta, GA",2022-10-01 00:00:00,385000,-0.115,312,0.037000000000000005,2.9,6.9
"Marietta, GA",2022-11-01 00:00:00,420000,0.091,292,-0.064,3.1,6.805
"Marietta, GA",2022-12-01 00:00:00,400000,-0.048,240,-0.17800000000000002,2.3,6.364
"Marietta, GA",2023-01-01 00:00:00,395000,-0.013000000000000001,236,-0.017,3.1,6.2725
"Marietta, GA",2023-02-01 00:00:00,385000,-0.025,193,-0.182,1.9,6.2575
"Marietta, GA",2023-03-01 00:00:00,415000,0.079,177,-0.083,1.3,6.544
"Marietta, GA",2023-04-01 00:00:00,425000,0.023,181,0.023,1.4,6.3425
"Marietta, GA",2023-05-01 00:00:00,424000,-0.003,206,0.138,1.3,6.425
"Marietta, GA",2023-06-01 00:00:00,442000,0.045,242,0.175,1.8,6.714
"Marietta, GA",2023-07-01 00:00:00,470000,0.062,247,0.021,1.9,6.84
"Marietta, GA",2023-08-01 00:00:00,451000,-0.04,212,-0.142,1.5,7.072
"Minneapolis, MN",2018-01-01 00:00:00,244000,0.016,654,-0.040999999999999995,1.8,4.0325
"Minneapolis, MN",2018-02-01 00:00:00,249000,0.021,702,0.073,2.0,4.33
"Minneapolis, MN",2018-03-01 00:00:00,263000,0.055999999999999994,846,0.205,1.5,4.444
"Minneapolis, MN",2018-04-01 00:00:00,275000,0.046,958,0.132,1.6,4.4675
"Minneapolis, MN",2018-05-01 00:00:00,277000,0.006,1131,0.18100000000000002,1.6,4.586
"Minneapolis, MN",2018-06-01 00:00:00,276000,-0.002,1270,0.12300000000000001,1.4,4.57
"Minneapolis, MN",2018-07-01 00:00:00,268000,-0.03,1327,0.045,1.6,4.5275
"Minneapolis, MN",2018-08-01 00:00:00,274000,0.022000000000000002,1411,0.063,1.6,4.55
"Minneapolis, MN",2018-09-01 00:00:00,270000,-0.013999999999999999,1471,0.043,2.2,4.6275
"Minneapolis, MN",2018-10-01 00:00:00,270000,0.0,1392,-0.054000000000000006,1.9,4.83
"Minneapolis, MN",2018-11-01 00:00:00,273000,0.01,1191,-0.14400000000000002,1.9,4.866
"Minneapolis, MN",2018-12-01 00:00:00,270000,-0.011000000000000001,895,-0.249,1.6,4.6375
"Minneapolis, MN",2019-01-01 00:00:00,268000,-0.005,859,-0.04,2.1,4.464
"Minneapolis, MN",2019-02-01 00:00:00,264000,-0.018000000000000002,840,-0.022000000000000002,2.0,4.37
"Minneapolis, MN",2019-03-01 00:00:00,280000,0.063,889,0.057999999999999996,1.7,4.265
"Minneapolis, MN",2019-04-01 00:00:00,298000,0.063,1088,0.22399999999999998,1.8,4.1425
"Minneapolis, MN",2019-05-01 00:00:00,305000,0.025,1255,0.153,1.5,4.072
"Minneapolis, MN",2019-06-01 00:00:00,300000,-0.017,1321,0.053,1.5,3.8025
"Minneapolis, MN",2019-07-01 00:00:00,295000,-0.017,1317,-0.003,1.5,3.765
"Minneapolis, MN",2019-08-01 00:00:00,293000,-0.006999999999999999,1329,0.009000000000000001,1.6,3.616
"Minneapolis, MN",2019-09-01 00:00:00,290000,-0.01,1426,0.073,2.0,3.605
"Minneapolis, MN",2019-10-01 00:00:00,285000,-0.017,1345,-0.057,2.1,3.688
"Minneapolis, MN",2019-11-01 00:00:00,281000,-0.012,1099,-0.183,1.8,3.695
"Minneapolis, MN",2019-12-01 00:00:00,280000,-0.005,789,-0.282,1.4,3.72
"Minneapolis, MN",2020-01-01 00:00:00,275000,-0.018000000000000002,760,-0.037000000000000005,1.9,3.624
"Minneapolis, MN",2020-02-01 00:00:00,280000,0.018000000000000002,796,0.047,2.0,3.465
"Minneapolis, MN",2020-03-01 00:00:00,305000,0.08900000000000001,981,0.23199999999999998,1.7,3.45
"Minneapolis, MN",2020-04-01 00:00:00,312000,0.021,1002,0.021,1.7,3.306
"Minneapolis, MN",2020-05-01 00:00:00,300000,-0.037000000000000005,1113,0.111,1.8,3.2325
"Minneapolis, MN",2020-06-01 00:00:00,314000,0.045,1189,0.068,1.6,3.1625
"Minneapolis, MN",2020-07-01 00:00:00,323000,0.032,1358,0.142,1.6,3.016
"Minneapolis, MN",2020-08-01 00:00:00,324000,0.003,1521,0.12,1.7,2.935
"Minneapolis, MN",2020-09-01 00:00:00,312000,-0.038,1709,0.124,1.9,2.89
"Minneapolis, MN",2020-10-01 00:00:00,318000,0.019,1639,-0.040999999999999995,1.8,2.834
"Minneapolis, MN",2020-11-01 00:00:00,303000,-0.049,1297,-0.209,1.7,2.765
"Minneapolis, MN",2020-12-01 00:00:00,300000,-0.008,955,-0.264,1.3,2.684
"Minneapolis, MN",2021-01-01 00:00:00,299000,-0.003,853,-0.107,1.6,2.735
"Minneapolis, MN",2021-02-01 00:00:00,296000,-0.01,867,0.016,1.8,2.81
"Minneapolis, MN",2021-03-01 00:00:00,327000,0.105,889,0.025,1.3,3.0825
"Minneapolis, MN",2021-04-01 00:00:00,335000,0.024,1047,0.17800000000000002,1.4,3.06
"Minneapolis, MN",2021-05-01 00:00:00,345000,0.03,1027,-0.019,1.2,2.9625
"Minneapolis, MN",2021-06-01 00:00:00,345000,0.0,1221,0.18899999999999997,1.1,2.975
"Minneapolis, MN",2021-07-01 00:00:00,340000,-0.013999999999999999,1429,0.17,1.6,2.868
"Minneapolis, MN",2021-08-01 00:00:00,340000,0.0,1474,0.031,1.6,2.8425
"Minneapolis, MN",2021-09-01 00:00:00,327000,-0.038,1613,0.094,2.1,2.9
"Minneapolis, MN",2021-10-01 00:00:00,325000,-0.006,1518,-0.059000000000000004,2.0,3.0675
"Minneapolis, MN",2021-11-01 00:00:00,315000,-0.031,1186,-0.21899999999999997,1.7,3.0675
"Minneapolis, MN",2021-12-01 00:00:00,320000,0.016,827,-0.303,1.1,3.098
"Minneapolis, MN",2022-01-01 00:00:00,310000,-0.032,736,-0.11,1.6,3.445
"Minneapolis, MN",2022-02-01 00:00:00,305000,-0.016,762,0.035,1.7,3.7625
"Minneapolis, MN",2022-03-01 00:00:00,340000,0.115,873,0.146,1.4,4.172
"Minneapolis, MN",2022-04-01 00:00:00,350000,0.028999999999999998,949,0.087,1.3,4.9825
"Minneapolis, MN",2022-05-01 00:00:00,353000,0.009000000000000001,1116,0.17600000000000002,1.3,5.23
"Minneapolis, MN",2022-06-01 00:00:00,361000,0.023,1233,0.105,1.4,5.522
"Minneapolis, MN",2022-07-01 00:00:00,340000,-0.057999999999999996,1358,0.10099999999999999,1.9,5.4125
"Minneapolis, MN",2022-08-01 00:00:00,351000,0.033,1319,-0.028999999999999998,1.9,5.2225
"Minneapolis, MN",2022-09-01 00:00:00,330000,-0.06,1375,0.042,2.2,6.112
"Minneapolis, MN",2022-10-01 00:00:00,335000,0.015,1276,-0.07200000000000001,2.4,6.9
"Minneapolis, MN",2022-11-01 00:00:00,318000,-0.05,1107,-0.132,2.5,6.805
"Minneapolis, MN",2022-12-01 00:00:00,300000,-0.057,848,-0.23399999999999999,2.1,6.364
"Minneapolis, MN",2023-01-01 00:00:00,300000,0.0,740,-0.127,2.2,6.2725
"Minneapolis, MN",2023-02-01 00:00:00,300000,0.0,700,-0.054000000000000006,2.3,6.2575
"Minneapolis, MN",2023-03-01 00:00:00,315000,0.05,806,0.151,1.8,6.544
"Minneapolis, MN",2023-04-01 00:00:00,344000,0.091,849,0.053,1.8,6.3425
"Minneapolis, MN",2023-05-01 00:00:00,341000,-0.006999999999999999,941,0.10800000000000001,1.7,6.425
"Minneapolis, MN",2023-06-01 00:00:00,340000,-0.003,991,0.053,1.4,6.714
"Minneapolis, MN",2023-07-01 00:00:00,345000,0.015,986,-0.005,1.6,6.84
